No.	English	Vulgar Latin
187	rotten	*putrido , *podre
188	dirty	*sordido , *sucio
189	straight	*recto , *directo ( *drectus )
190	round	*rotondo (*retundus)
191	sharp (as a knife)	*acuto , *affilato
192	dull (as a knife)	*muttius (*smussato), *rombo
193	smooth	*liscio (*liseus, *levis)
194	wet	*baneum (*bagnato), *molliato (*mollio)
195	dry	*seco (*sec, *siccu)
196	correct	*correcto , *justo
197	near	*proxime (*propius), *vicino
198	far	*lontano , *distante
199	right	*destra (*dextre), *directa
200	left	*sinister
201	at	*ad (*a)
202	in	*in
203	with	*cum (*con), *abhoc
204	and	*et (*e)
205	if	*si (*se)
206	because	*por que (*perquid)
207	name	*nomine , *nomen
